EventId,EventTemplate,Occurrences
7edba00f,imap(<*>): Logged out in=<*> out=<*>,2688
19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>",2688
f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)",2520
c9f3df73,"[<*>] Login success for <*> <*> <*> <*> [pid <*> on line <*> of ""/<*>""]",60
c7a9a5e4,"[<*>] PHP ERROR: Declaration of Horde_Form_Type_country::<*>($prompt = NULL) should be compatible with Horde_Form_Type_enum::<*>($values, $prompt = NULL) [pid <*> on line <*> of ""/<*>""]",729
0c2ce181,"[<*>] PHP ERROR: Declaration of Nag_Form_Task::<*>() should be compatible with Horde_Form::<*>($renderer = NULL, $vars = NULL, $action = '', $method = 'get', $enctype = NULL, $focus = true) [pid <*> on line <*> of ""/<*>""]",590
8f8ad23c,"[<*>] Message sent to <*> <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",61
aca16d28,(<*>) CMD ( [ -x /<*> ] && if [ ! -d /<*> ]; then /<*>; fi),21
73f564e0,Starting Clean php session files...,21
6d8806bb,Started Clean php session files.,21
a33acd0c,"[<*>] PHP ERROR: Declaration of Horde_Form_Action_updatefield::<*>(&$form, &$renderer, $varname) should be compatible with Horde_Form_Action::<*>($form, $renderer, $varname) [pid <*> on line <*> of ""/<*>""]",133
09cc6741,"[<*>] PHP ERROR: Declaration of Horde_Form_Action_updatefield::<*>(&$vars, $sourceVal, $arrayVal = false) should be compatible with Horde_Form_Action::<*>(&$vars, $sourceVal, $index = NULL, $arrayVal = false) [pid <*> on line <*> of ""/<*>""]",133
02e23f8a,"[<*>] PHP ERROR: Declaration of Turba_Form_EditContact::<*>($renderer, $vars, $action, $method) should be compatible with Horde_Form::<*>($renderer = NULL, $vars = NULL, $action = '', $method = 'get', $enctype = NULL, $focus = true) [pid <*> on line <*> of ""/<*>""]",63
b6f5e68b,"[<*>] Message sent to <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",57
2fc5a013,"[<*>] User <*> logged out of Horde (<*>) [pid <*> on line <*> of ""/<*>""]",30
aa436bfa,(<*>) CMD ( cd / && run-parts --report /<*>),11
ed52ffed,Tue Mar <*> <*>:<*>:<*> <*> -> Received signal: wake up,10
2abce80a,Tue Mar <*> <*>:<*>:<*> <*> -> ClamAV update process started at Tue Mar <*> <*>:<*>:<*> <*>,10
d70ab203,Tue Mar <*> <*>:<*>:<*> <*> -> ^Your ClamAV installation is OUTDATED!,10
fb2814e0,Tue Mar <*> <*>:<*>:<*> <*> -> ^Local version: <*>.<*>.<*> Recommended version: <*>.<*>.<*>,10
b69f03bd,Tue Mar <*> <*>:<*>:<*> <*> -> DON'T PANIC! Read <*>,10
78b42a20,"Tue Mar <*> <*>:<*>:<*> <*> -> <*> is up to date (version: <*>, sigs: <*>, f-level: <*>, builder: <*>",29
3cdd7a4b,"[<*>] PHP ERROR: Declaration of Turba_Form_AddContact::<*>() should be compatible with Horde_Form::<*>($vars = NULL, $canAutoFill = false) [pid <*> on line <*> of ""/<*>""]",70
4086fa06,"[<*>] [<*>] Authentication failed. [pid <*> on line <*> of ""/<*>""]",1
5431e37d,"[<*>] FAILED LOGIN for <*> <*> <*> <*> [pid <*> on line <*> of ""/<*>""]",2
2dbdc7da,"imap-login: Disconnected (auth failed, <*> attempts in <*> secs): user=<<*>>, method=<*>, rip=<*>, lip=<*>, secured, session=<<*>>",1
8dbb2c05,DHCPREQUEST of <*> on eth0 to <*> port <*>,2
151a0778,DHCPACK of <*> from <*>,2
032e2c6f,bound to <*> -- renewal in <*> seconds.,2
cb372a73,Tue Mar <*> <*>:<*>:<*> <*> -> Downloading daily-<*>.cdiff [<*>%],1
3f36733a,"Tue Mar <*> <*>:<*>:<*> <*> -> daily.cld updated (version: <*>, sigs: <*>, f-level: <*>, builder: raynman)",1
074ecaa1,Tue Mar <*> <*>:<*>:<*> <*> -> *Can't query daily.<*>.6810DB54.ping.clamav.net,1
3f3a41fb,Tue Mar <*> <*>:<*>:<*> <*> -> Database updated (<*> signatures) from <*> (IP: <*>),1
a7c1984d,Tue Mar <*> <*>:<*>:<*> <*> -> !NotifyClamd: Can't find or parse configuration file /<*>,1
b37fee6f,Starting Daily apt download activities...,1
43d542ce,Started Daily apt download activities.,1
8cabb1a7,apt-daily.timer: Adding <*> <*> <*> random time.,2
5cd927dd,(<*>) CMD (/<*> --infected --remove=<*> --recursive=<*> --scan-archive=<*> /),2
6039f7f0,"[<*>] Message sent to <*> <*>, <*> from <*> (<*>) [pid <*> on line <*> of ""/<*>""]",5
